OrderId,OrderDate,Customer,CustomerType,TotalAmount,ShippingDate,ClientDiscount,StoreItemName,Quantity,UnitPrice,TotalItemsPrice,Discount,TotalItemsPriceDiscounted
16,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,615.00,Pending,No client discount,EBC-Turbo,1,350.00,350.00,No item discount,350.00
16,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,615.00,Pending,No client discount,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
16,2024-10-05,Esref Pivcic (carrepairshop),Car Repair Shop,615.00,Pending,No client discount,Test 1,2,20.00,40.00,No item discount,40.00
17,2024-10-09,Esref Pivcic (client),Client,340.00,Pending,15.00%,Test 2,1,10.00,10.00,No item discount,10.00
17,2024-10-09,Esref Pivcic (client),Client,340.00,Pending,15.00%,Test 1,2,20.00,40.00,No item discount,40.00
17,2024-10-09,Esref Pivcic (client),Client,340.00,Pending,15.00%,EBC-Turbo,1,350.00,350.00,No item discount,350.00
18,2024-10-09,Esref Pivcic (client),Client,837.25,Pending,15.00%,EBC-Turbo,1,350.00,350.00,No item discount,350.00
18,2024-10-09,Esref Pivcic (client),Client,837.25,Pending,15.00%,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
18,2024-10-09,Esref Pivcic (client),Client,837.25,Pending,15.00%,OEM-R32 Brembo,1,400.00,400.00,No item discount,400.00
18,2024-10-09,Esref Pivcic (client),Client,837.25,Pending,15.00%,Test 2,1,10.00,10.00,No item discount,10.00
19,2024-10-09,Esref Pivcic (client),Client,216.75,Pending,15.00%,Test 2,1,10.00,10.00,No item discount,10.00
19,2024-10-09,Esref Pivcic (client),Client,216.75,Pending,15.00%,Test 1,1,20.00,20.00,No item discount,20.00
19,2024-10-09,Esref Pivcic (client),Client,216.75,Pending,15.00%,Monster-Motorsport,1,250.00,250.00,10.00%,225.00
20,2024-10-10,Esref Pivcic (carrepairshop),Car Repair Shop,1550.00,Pending,No client discount,EBC-Turbo,2,350.00,700.00,No item discount,700.00
20,2024-10-10,Esref Pivcic (carrepairshop),Car Repair Shop,1550.00,Pending,No client discount,Monster-Motorsport,2,250.00,500.00,10.00%,450.00
20,2024-10-10,Esref Pivcic (carrepairshop),Car Repair Shop,1550.00,Pending,No client discount,OEM-R32 Brembo,1,400.00,400.00,No item discount,400.00
